"GEO_ID","NAME","YEAR","zip_code","vets_popcount","nonvets_pop_count","total_labor_force_percent","vets_labor_force_percent","nonvets_labor_force_percent","total_labor_force_count","vets_labor_force_count","nonvets_labor_force_count","total_unemp_rate_percent","vets_unemp_rate_percent","nonvets_unemp_rate_percent","total_pov_count","total_pov_percent","vets_pov_count","vets_pov_percent","nonvets_pov_count","nonvets_pov_percent","total_dis_count","total_dis_percent","vet_dis_count","vet_dis_percent","nonvet_dis_count","nonvet_dis_percent","drop_zip","zero_flag"
"860Z200US10941","ZCTA5 10941","2024","10941",0,763,82.6,88.5,82.3,7933,360,7573,5.8,3.6,5.9,855,7.3,12,1.6,843,7.7,1852,15.8,182,23.9,1670,15.3,FALSE,0
"860Z200US10950","ZCTA5 10950","2024","10950",0,918,68.1,64.6,68.2,22589,297,22292,4,8.8,3.9,7894,21,66,7.2,7828,21.4,2935,7.8,253,27.6,2682,7.3,FALSE,0
"860Z200US10952","ZCTA5 10952","2024","10952",0,270,66.4,75,66.4,14037,24,14013,7.4,0,7.4,6691,26.1,33,12.2,6658,26.3,2254,8.8,121,44.8,2133,8.4,FALSE,0
"860Z200US10954","ZCTA5 10954","2024","10954",0,826,81,83.8,80.9,12805,430,12375,3.7,0,3.9,2091,9.9,83,10.1,2008,9.9,2739,13,153,18.7,2586,12.8,FALSE,0
"860Z200US10956","ZCTA5 10956","2024","10956",0,790,78.3,82.4,78.3,14059,225,13834,7.1,0,7.2,877,3.6,11,1.4,866,3.7,2722,11.3,186,23.7,2536,10.9,FALSE,0
"860Z200US10958","ZCTA5 10958","2024","10958",0,99,55.2,20,55.4,1120,2,1118,2.9,0,3,53,2.6,0,0,53,2.7,274,13.5,36,36.4,238,12.3,FALSE,0
"860Z200US10960","ZCTA5 10960","2024","10960",0,467,83.6,84.1,83.6,8019,159,7860,7.1,0,7.2,701,5.8,12,2.6,689,5.9,1415,11.7,95,20.3,1320,11.3,FALSE,0
"860Z200US10962","ZCTA5 10962","2024","10962",0,97,78.9,0,79.2,2088,0,2088,5.3,0,5.3,237,6.3,9,9.3,228,6.2,466,12.4,61,62.9,405,11.1,FALSE,0
"860Z200US10963","ZCTA5 10963","2024","10963",0,225,40.9,53.9,40,1081,90,991,1.5,0,1.6,110,5.3,18,11.5,92,4.8,383,18.5,78,50,305,16,FALSE,0
"860Z200US10964","ZCTA5 10964","2024","10964",0,20,88.2,100,88,643,11,632,8.7,0,8.9,70,6.6,0,0,70,6.7,153,14.5,9,45,144,13.9,FALSE,0
"860Z200US10965","ZCTA5 10965","2024","10965",0,308,78.6,70,78.6,6745,21,6724,3.1,0,3.1,720,6.3,0,0,720,6.5,1391,12.1,120,39,1271,11.4,FALSE,0
"860Z200US10968","ZCTA5 10968","2024","10968",0,25,84.4,0,84.4,1290,0,1290,5.3,0,5.3,28,1.4,0,0,28,1.4,152,7.3,8,32,144,7,FALSE,0
"860Z200US10969","ZCTA5 10969","2024","10969",0,36,72.4,0,72.4,477,0,477,0,0,0,34,4.2,0,0,34,4.4,173,21.5,16,44.4,157,20.5,FALSE,0
"860Z200US10970","ZCTA5 10970","2024","10970",0,266,76.1,90.3,75.8,5135,131,5004,6.5,0,6.7,750,8.4,72,27.1,678,7.9,1108,12.5,33,12.4,1075,12.5,FALSE,0
"860Z200US10973","ZCTA5 10973","2024","10973",0,128,83.6,100,83.1,1134,35,1099,11.2,0,11.6,116,6.3,2,1.6,114,6.7,238,13,19,14.8,219,12.9,FALSE,0
"860Z200US10974","ZCTA5 10974","2024","10974",0,71,82.6,68.8,82.7,1808,11,1797,6.3,0,6.3,141,5.3,0,0,141,5.5,391,14.8,37,52.1,354,13.8,FALSE,0
"860Z200US10975","ZCTA5 10975","2024","10975",0,0,100,0,100,105,0,105,0,0,0,36,20.5,0,0,36,20.5,0,0,0,0,0,0,FALSE,1
"860Z200US10976","ZCTA5 10976","2024","10976",0,50,56.4,100,55.6,660,19,641,8.8,0,9,210,19.4,0,0,210,20.3,255,23.5,0,0,255,24.6,FALSE,0
"860Z200US10977","ZCTA5 10977","2024","10977",0,648,74,80.8,74,26978,185,26793,4.6,0,4.6,9769,23.1,59,9.3,9710,23.3,4061,9.6,136,21.4,3925,9.4,FALSE,0
"860Z200US10980","ZCTA5 10980","2024","10980",0,616,77.3,65.8,77.6,6176,144,6032,6.8,0,6.9,536,5.1,39,6.3,497,5,982,9.3,67,10.9,915,9.2,FALSE,0
"860Z200US10983","ZCTA5 10983","2024","10983",0,175,85.6,78.9,85.7,3209,71,3138,4.9,0,5,105,2.1,0,0,105,2.2,641,13,49,28,592,12.4,FALSE,0
"860Z200US10984","ZCTA5 10984","2024","10984",0,150,79.8,100,79.4,1096,29,1067,3,0,3.1,66,3.2,8,5.3,58,3.1,290,14.2,56,37.3,234,12.3,FALSE,0
"860Z200US10986","ZCTA5 10986","2024","10986",0,108,77.7,27.3,81.6,957,24,933,7.6,0,7.8,114,7.9,0,0,114,8.5,207,14.3,59,54.6,148,11,FALSE,0
"860Z200US10987","ZCTA5 10987","2024","10987",0,83,55.5,100,55.3,1496,11,1485,2.6,0,2.6,1005,26.5,0,0,1005,27.1,387,10.2,40,48.2,347,9.4,FALSE,0
"860Z200US10988","ZCTA5 10988","2024","10988",0,22,88.6,41.7,90,372,5,367,0.3,0,0.3,41,8.4,0,0,41,8.8,55,11.3,5,22.7,50,10.8,FALSE,0
"860Z200US10989","ZCTA5 10989","2024","10989",0,273,80.6,23.3,82.1,4132,31,4101,10.7,0,10.8,185,2.6,0,0,185,2.7,613,8.6,103,38,510,7.5,FALSE,0
"860Z200US10990","ZCTA5 10990","2024","10990",0,947,82,91.3,81.8,9819,251,9568,4,4.8,4,786,4.8,36,3.8,750,4.9,2006,12.3,213,22.5,1793,11.7,FALSE,0
"860Z200US10992","ZCTA5 10992","2024","10992",0,292,76.7,98.4,75.9,4446,190,4256,4.4,0,4.6,568,7.9,4,1.4,564,8.2,903,12.6,51,17.5,852,12.4,FALSE,0
"860Z200US10993","ZCTA5 10993","2024","10993",0,25,80.6,100,80.5,2502,15,2487,7.2,0,7.2,502,12.8,0,0,502,12.8,465,11.8,10,40,455,11.6,FALSE,0
"860Z200US10994","ZCTA5 10994","2024","10994",0,87,77.3,52.1,77.6,2660,25,2635,7.4,0,7.5,93,1.8,0,0,93,1.9,918,18,23,26.4,895,17.8,FALSE,0
"860Z200US10996","ZCTA5 10996","2024","10996",0,948,54.1,33.9,69.5,1177,317,860,3.8,5,3.4,113,7.2,62,18.9,51,4.1,35,2.2,17,5.2,18,1.5,FALSE,0
"860Z200US10998","ZCTA5 10998","2024","10998",0,130,81.2,57.9,82.3,2036,62,1974,4.5,14.5,4.2,131,4.3,0,0,131,4.4,294,9.5,19,14.6,275,9.3,FALSE,0
